species,calorie,fat,protein,carb
hotdog,111,3.2,2.7,18
hotdog,100,11,5,3
hotdog,230,7.3,4.8,12.4
hotdog,110,7,0,0
hotdog,180,2.9,36.2,0
hotdog,140,12,6,2
hotdog,270,0,0,0
hotdog,150,15,7,2
hotdog,120,11,5,2
hotdog,110,9,6,2
hotdog,242.1,14.5,10.4,18
hotdog,570,33,24,46
hotdog,100,14,7,0
hotdog,260,15,8,22
hotdog,296,13.4,13.5,31.3
hotdog,130,5,5,5
hotdog,100,4,13,4
hotdog,150,4,5,4
hotdog,100,4,6,4
hotdog,100,5,10,5
bread,76.7,1,2.5,14.2
bread,73.3,0.9,2.4,13.7
bread,75.7,0.9,3,13.8
bread,70.9,0.9,2.5,13.5
bread,76.3,1.2,2.4,13.7
bread,81.4,1.7,2.7,13.6
bread,195.8,10,5,21.5
bread,740,19.5,75.5,69.5
bread,80,0.5,4,15
bread,78.4,1.4,3.1,14.6
bread,69.6,1.2,2.7,13
bread,165,0.7,5.5,33.4
bread,140,2,4,28
bread,160,0.5,0,30
bread,80.4,1,2.7,15
bread,170.2,1.7,6.3,35.2
bread,80,0,3,18
bread,260,3.5,10,48
bread,120,1,6,22
bread,120,1.5,4,24
peanutbutter,190,16,7,8
peanutbutter,330,12,34,26
peanutbutter,210,17,8,6
peanutbutter,113,5.6,2.2,9
peanutbutter,200,16,8,7
peanutbutter,120,11,4,5
peanutbutter,190,16,8,7
peanutbutter,180,15,7,8
peanutbutter,90,8,1.5,3
peanutbutter,250,21,10,10
peanutbutter,634,53,26.6,8.5
peanutbutter,50,1.5,5,5
peanutbutter,200,16,8,7
peanutbutter,220,11,7,21
peanutbutter,190,16,7,8
peanutbutter,200,0,7,0
peanutbutter,130,8,6.5,13
peanutbutter,180,15,8,8
peanutbutter,220,13,4,26
peanutbutter,190,16,7,8
